AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID,PersonMasterID
125,81,Vijay Reddy,59,1,A2,PM00054
126,82,Manoj Jain,24,1,A1,PM00875
127,83,Ravi Sharma,57,1,A1,PM00512
128,83,Vijay Patil,62,2,A2,PM00619
129,84,Naveen Jain,24,1,A1,PM00921
130,85,Pooja Shetty,22,1,A1,PM00571
131,85,Imran Pujari,64,1,A2,PM00496
132,86,Meera Kumar,61,1,A1,PM00616
133,87,Naveen Patil,27,1,A1,PM00565
134,88,Neha Patil,61,1,A1,PM00492
135,88,Mahesh Nayak,42,3,A2,PM00828
136,89,Neha Mulla,33,2,A1,PM00774
137,90,Ananya Kumar,39,2,A1,PM00863
138,91,Rahul Reddy,49,2,A1,PM00610
139,91,Ananya Joshi,49,1,A2,PM00480
140,92,Kavya Khan,37,1,A1,PM00742
141,93,Mahesh Pujari,31,2,A1,PM00174
142,93,Anil Mulla,44,2,A2,PM00573
143,94,Ravi Gowda,23,2,A1,PM00099
144,94,Divya Hegde,56,1,A2,PM00942
145,94,Shankar Kulkarni,60,2,A3,PM00536
146,95,Priya Khan,47,2,A1,PM00114
147,96,Imran Patil,27,2,A1,PM00973
148,96,Divya Hegde,55,1,A2,PM00254
149,97,Kavya Hegde,32,1,A1,PM00415
150,98,Shreya Sharma,27,2,A1,PM00995
151,99,Prakash Rao,37,1,A1,PM00303
152,100,Pooja Khan,35,2,A1,PM00435
153,100,Kavya Khan,51,2,A2,PM00594
154,101,Nandini Kumar,39,2,A1,PM00428
155,101,Priya Mulla,20,2,A2,PM00983
156,102,Ajay Shetty,37,2,A1,PM00301
157,102,Asha Naik,20,2,A2,PM00602
158,103,Lakshmi Rao,63,1,A1,PM00831
159,104,Divya Kulkarni,38,1,A1,PM00548
160,105,Kiran Jain,61,2,A1,PM00801
161,106,Mahesh Khan,59,3,A1,PM00448
162,106,Aishwarya Naik,65,2,A2,PM01072
163,106,Divya Sharma,43,2,A3,PM00965
164,107,Manoj Kulkarni,56,2,A1,PM00614
165,107,Asha Nayak,41,1,A2,PM00953
166,108,Suresh Desai,46,1,A1,PM00661
167,109,Kiran Hegde,42,2,A1,PM00387
168,109,Asha Khan,34,1,A2,PM00420
169,110,Suresh Sharma,20,2,A1,PM00782
170,110,Kavya Sharma,46,2,A2,PM00542
171,111,Suresh Patil,34,2,A1,PM00358
172,111,Suresh Nayak,53,2,A2,PM00566
173,112,Vijay Shetty,64,2,A1,PM00145
174,113,Meera Reddy,34,2,A1,PM00763
175,114,Shreya Desai,60,1,A1,PM00930
176,115,Deepak Sharma,19,1,A1,PM01052
177,116,Arun Shetty,30,3,A1,PM00706
178,116,Divya Desai,26,1,A2,PM00430
179,116,Prakash Kulkarni,35,1,A3,PM00527
180,117,Shankar Rao,32,2,A1,PM00786
181,118,Meera Kumar,61,1,A1,PM01063
182,118,Anil Sharma,18,1,A2,PM01081
183,119,Nandini Sharma,63,3,A1,PM00327
184,120,Meera Khan,43,1,A1,PM00471
185,121,Nandini Kumar,39,2,A1,PM00428
186,122,Priya Patil,51,2,A1,PM00274
187,123,Sneha Khan,23,1,A1,PM00727
188,123,Ravi Kulkarni,29,2,A2,PM00733
189,124,Imran Khan,65,2,A1,PM00625
190,124,Pooja Pujari,34,1,A2,PM00519
191,124,Lakshmi Nayak,57,2,A3,PM00866
192,125,Mahesh Sharma,20,1,A1,PM01028
193,125,Arun Kulkarni,51,3,A2,PM00043
194,126,Ananya Kumar,36,1,A1,PM00411
195,127,Ajay Kulkarni,48,3,A1,PM00425
196,128,Ajay Reddy,43,1,A1,PM01027
197,129,Farhan Naik,50,1,A1,PM00990
198,130,Neha Bhat,37,2,A1,PM00621
199,130,Naveen Hegde,61,3,A2,PM00082
200,131,Shankar Gowda,30,1,A1,PM00320
201,132,Prakash Naik,34,2,A1,PM00820
202,132,Prakash Sharma,31,2,A2,PM00018
203,132,Sneha Kumar,22,1,A3,PM00419
204,133,Aishwarya Naik,34,1,A1,PM00731
205,133,Kiran Pujari,64,2,A2,PM00925
206,133,Naveen Pujari,26,1,A3,PM00769
207,134,Vijay Naik,49,1,A1,PM00886
208,135,Rahul Desai,43,1,A1,PM00210
209,136,Rahul Shetty,44,1,A1,PM00460
210,137,Farhan Rao,59,2,A1,PM00353
211,137,Vijay Reddy,54,1,A2,PM00641
212,138,Meera Pujari,25,2,A1,PM00772
213,139,Mahesh Khan,59,3,A1,PM00448
214,139,Prakash Pujari,22,2,A2,PM00239
215,139,Meera Shetty,32,1,A3,PM01056
216,140,Anil Joshi,47,3,A1,PM00109
217,141,Asha Rao,34,2,A1,PM00406
218,141,Anil Hegde,44,1,A2,PM00016
219,142,Aishwarya Khan,36,1,A1,PM00137
220,142,Priya Mulla,20,2,A2,PM00983
221,142,Anil Bhat,35,2,A3,PM00048
222,143,Pooja Rao,54,2,A1,PM00148
223,144,Vijay Mulla,52,1,A1,PM00919
224,144,Ravi Joshi,52,1,A2,PM00071
225,145,Sunil Desai,45,1,A1,PM01020
226,146,Neha Naik,30,2,A1,PM00308
227,147,Shankar Kulkarni,60,2,A1,PM00536
228,148,Ananya Kumar,36,1,A1,PM00411
229,149,Sunil Nayak,59,1,A1,PM00413
230,150,Mahesh Kulkarni,46,1,A1,PM00638
231,150,Ananya Naik,19,3,A2,PM00751
232,151,Aishwarya Hegde,26,1,A1,PM00962
233,152,Shankar Pujari,44,1,A1,PM00454
234,153,Naveen Jain,36,2,A1,PM00485
235,154,Meera Gowda,55,2,A1,PM00315
236,154,Lakshmi Rao,59,1,A2,PM00992
237,154,Mahesh Patil,49,3,A3,PM00055
238,154,Lakshmi Kumar,42,1,A4,PM00479
239,155,Lakshmi Desai,59,2,A1,PM00927
240,156,Manoj Reddy,52,1,A1,PM00969
241,157,Imran Khan,65,2,A1,PM00625
242,158,Rahul Hegde,35,2,A1,PM00075
243,158,Pooja Khan,35,1,A2,PM00441
244,159,Lakshmi Kulkarni,50,2,A1,PM00330
245,160,Prakash Jain,56,1,A1,PM00993
246,160,Meera Khan,59,2,A2,PM00341
247,161,Kiran Desai,45,2,A1,PM00253
248,161,Meera Sharma,33,1,A2,PM00928
249,161,Vijay Reddy,54,2,A3,PM00845
250,162,Aishwarya Desai,21,1,A1,PM00714
251,163,Naveen Jain,54,3,A1,PM00754
252,164,Divya Sharma,53,2,A1,PM00042
253,165,Manoj Shetty,65,1,A1,PM00926
254,165,Manoj Kumar,43,2,A2,PM00902
255,165,Rahul Sharma,30,2,A3,PM00020
256,165,Anil Joshi,40,2,A4,PM00213
257,166,Priya Patil,51,2,A1,PM00274
258,166,Rahul Nayak,55,1,A2,PM00659
259,166,Pooja Mulla,62,2,A3,PM00408
260,167,Imran Kumar,56,3,A1,PM00003
261,167,Kavya Patil,35,1,A2,PM00026
262,168,Neha Sharma,38,1,A1,PM00147
263,169,Asha Jain,39,1,A1,PM00319
264,170,Mahesh Shetty,29,2,A1,PM00538
265,171,Naveen Hegde,61,3,A1,PM00082
266,172,Anil Reddy,45,2,A1,PM00081
267,173,Nandini Khan,61,3,A1,PM00383
268,173,Divya Kulkarni,38,1,A2,PM00548
269,173,Priya Bhat,58,2,A3,PM00248
270,174,Lakshmi Nayak,57,2,A1,PM00866
271,175,Anil Pujari,22,3,A1,PM00520
272,176,Ajay Patil,45,2,A1,PM00697
273,176,Meera Naik,32,1,A2,PM00945
274,177,Lakshmi Rao,63,1,A1,PM00831
275,178,Lakshmi Gowda,52,1,A1,PM00684
276,179,Shreya Kulkarni,19,3,A1,PM00307
277,179,Shreya Reddy,48,1,A2,PM00500
278,180,Suresh Pujari,45,1,A1,PM00984
279,181,Kavya Kulkarni,51,3,A1,PM00580
280,182,Manoj Nayak,39,2,A1,PM00897
281,183,Sunil Naik,58,3,A1,PM00981
282,184,Shreya Naik,62,1,A1,PM01010
283,185,Deepak Shetty,54,1,A1,PM00098
284,186,Lakshmi Gowda,19,1,A1,PM00108
285,187,Aishwarya Naik,65,2,A1,PM01072
286,188,Sunil Khan,18,2,A1,PM00703
287,188,Priya Kumar,56,2,A2,PM00716
288,189,Neha Kumar,25,1,A1,PM00457
289,189,Divya Sharma,53,2,A2,PM00042
290,190,Manoj Mulla,22,2,A1,PM00957
291,190,Kavya Pujari,27,1,A2,PM00030
292,191,Suresh Gowda,51,3,A1,PM00123
293,192,Meera Patil,52,1,A1,PM00486
294,193,Anil Gowda,58,1,A1,PM00391
295,193,Deepak Nayak,23,2,A2,PM00941
296,194,Mahesh Jain,52,1,A1,PM00793
297,195,Anil Reddy,38,2,A1,PM00805
298,196,Meera Desai,31,2,A1,PM00304
299,197,Rahul Bhat,51,1,A1,PM00570
300,198,Anil Gowda,58,1,A1,PM00391
301,198,Meera Jain,64,2,A2,PM00963
302,198,Suresh Desai,46,1,A3,PM00661
303,199,Ananya Pujari,65,1,A1,PM00051
304,200,Prakash Jain,56,1,A1,PM00993
305,201,Divya Desai,26,1,A1,PM00430
306,202,Arun Gowda,31,2,A1,PM00104
307,202,Meera Sharma,33,1,A2,PM00928
308,203,Meera Bhat,19,3,A1,PM00904
309,204,Ajay Kumar,32,1,A1,PM00066
310,205,Arun Shetty,30,3,A1,PM00706
311,206,Naveen Desai,32,2,A1,PM00796
312,206,Neha Mulla,33,2,A2,PM00774
313,206,Rahul Khan,32,3,A3,PM00166
314,207,Meera Kumar,61,1,A1,PM00616
315,207,Naveen Bhat,52,1,A2,PM00410
316,208,Asha Shetty,38,1,A1,PM00472
317,209,Manoj Patil,29,2,A1,PM00617
318,209,Shreya Rao,36,3,A2,PM00788
319,210,Mahesh Gowda,48,1,A1,PM00585
320,211,Vijay Joshi,19,2,A1,PM00139
321,212,Aishwarya Pujari,54,1,A1,PM00935
322,212,Pooja Reddy,35,1,A2,PM00170
323,213,Ajay Joshi,37,2,A1,PM00404
324,214,Shankar Bhat,32,3,A1,PM00758
325,215,Suresh Kumar,39,2,A1,PM00880
326,216,Kavya Desai,51,1,A1,PM00487
327,217,Ananya Hegde,59,2,A1,PM00409
328,218,Prakash Reddy,63,2,A1,PM00671
329,219,Nandini Sharma,64,3,A1,PM00615
330,220,Aishwarya Rao,23,1,A1,PM00085
331,220,Sneha Naik,35,2,A2,PM00243
332,221,Shreya Pujari,30,1,A1,PM00909
333,221,Anil Reddy,38,2,A2,PM00805
334,222,Ajay Shetty,45,2,A1,PM00855
335,223,Pooja Sharma,36,2,A1,PM00700
336,223,Ananya Gowda,52,1,A2,PM00140
337,223,Naveen Sharma,54,1,A3,PM00203
338,223,Meera Jain,58,1,A4,PM00940
339,224,Kiran Khan,36,3,A1,PM00720
340,225,Sneha Kumar,48,2,A1,PM00247
341,225,Naveen Rao,28,1,A2,PM00823
342,225,Asha Naik,20,2,A3,PM00602
343,226,Ravi Jain,20,1,A1,PM00449
344,226,Vijay Mulla,37,1,A2,PM00888
345,226,Nandini Mulla,59,2,A3,PM01040
346,226,Asha Kulkarni,65,1,A4,PM00400
347,227,Ajay Joshi,37,2,A1,PM00404
348,228,Sunil Hegde,18,1,A1,PM00674
349,228,Shreya Pujari,52,2,A2,PM00583
350,229,Kiran Shetty,35,3,A1,PM00867
351,230,Asha Pujari,47,2,A1,PM00359
352,231,Deepak Kumar,64,3,A1,PM00550
353,231,Anil Patil,46,1,A2,PM00063
354,231,Neha Kumar,18,3,A3,PM00824
355,232,Suresh Sharma,49,1,A1,PM00426
356,232,Divya Sharma,53,2,A2,PM00042
357,232,Sneha Jain,62,2,A3,PM00740
358,233,Rahul Patil,60,1,A1,PM00132
359,233,Sneha Gowda,49,2,A2,PM00288
360,234,Deepak Khan,52,2,A1,PM00603
361,235,Divya Sharma,53,2,A1,PM00042
362,236,Priya Nayak,20,2,A1,PM00978
363,237,Sunil Naik,58,3,A1,PM00981
364,237,Anil Khan,29,1,A2,PM00285
365,237,Kavya Mulla,50,3,A3,PM00668
366,238,Sunil Gowda,50,1,A1,PM00122
367,239,Anil Mulla,27,2,A1,PM00601
368,240,Mahesh Pujari,61,2,A1,PM00624
369,240,Kavya Kulkarni,51,3,A2,PM00580
370,240,Lakshmi Joshi,62,1,A3,PM00564
371,241,Shankar Kulkarni,60,2,A1,PM00536
372,242,Priya Nayak,25,2,A1,PM00329
373,242,Kiran Pujari,31,1,A2,PM00442
374,243,Rahul Naik,27,2,A1,PM00396
375,243,Priya Reddy,53,2,A2,PM00524
376,244,Meera Pujari,64,3,A1,PM00204
377,245,Rahul Mulla,27,1,A1,PM00337
378,246,Ravi Patil,36,1,A1,PM00999
379,247,Divya Mulla,51,2,A1,PM00702
380,248,Farhan Mulla,24,1,A1,PM00730
381,249,Imran Hegde,33,1,A1,PM00771
382,249,Shreya Joshi,27,1,A2,PM00618
383,250,Ajay Patil,42,1,A1,PM00382
384,251,Imran Pujari,45,1,A1,PM00105
385,251,Divya Desai,50,3,A2,PM00939
386,252,Shreya Pujari,30,1,A1,PM00909
387,252,Prakash Gowda,34,3,A2,PM00244
388,253,Manoj Rao,47,1,A1,PM01086
389,253,Naveen Kumar,54,1,A2,PM00115
390,254,Lakshmi Reddy,41,2,A1,PM00877
391,254,Lakshmi Gowda,52,1,A2,PM00684
392,255,Neha Patil,28,2,A1,PM00966
393,256,Ravi Khan,39,1,A1,PM00693
394,257,Manoj Bhat,65,1,A1,PM00515
395,258,Meera Mulla,54,3,A1,PM00722
396,259,Aishwarya Rao,23,1,A1,PM00085
397,260,Imran Naik,55,2,A1,PM00015
398,260,Sneha Nayak,42,2,A2,PM00368
399,261,Nandini Naik,63,2,A1,PM00177
400,262,Meera Mulla,37,2,A1,PM00590
401,263,Manoj Rao,47,1,A1,PM01086
402,264,Arun Joshi,18,1,A1,PM00263
403,265,Aishwarya Desai,21,1,A1,PM00714
404,265,Ajay Pujari,59,1,A2,PM00780
405,265,Sunil Pujari,42,1,A3,PM00393
406,266,Manoj Gowda,52,2,A1,PM00238
407,267,Sneha Pujari,27,2,A1,PM00266
408,268,Pooja Desai,55,2,A1,PM00632
409,268,Divya Patil,31,3,A2,PM00002
410,269,Deepak Kulkarni,22,1,A1,PM00461
411,270,Naveen Jain,24,1,A1,PM00921
412,271,Asha Desai,45,1,A1,PM00422
413,271,Lakshmi Shetty,64,2,A2,PM00903
414,272,Ravi Rao,53,3,A1,PM00735
415,272,Sunil Nayak,59,1,A2,PM00413
416,272,Rahul Joshi,60,3,A3,PM00768
417,273,Aishwarya Rao,26,1,A1,PM00644
418,273,Shankar Sharma,47,1,A2,PM01074
419,274,Vijay Kumar,54,1,A1,PM00906
420,274,Farhan Gowda,25,3,A2,PM00521
421,275,Asha Desai,35,2,A1,PM00932
422,275,Naveen Joshi,38,3,A2,PM00086
423,275,Meera Sharma,58,2,A3,PM00996
424,276,Prakash Mulla,60,2,A1,PM00348
425,276,Divya Mulla,51,2,A2,PM00702
426,276,Sneha Pujari,27,2,A3,PM00266
427,277,Naveen Jain,54,3,A1,PM00754
428,278,Meera Jain,58,1,A1,PM00940
429,279,Vijay Reddy,54,2,A1,PM00845
430,279,Arun Kulkarni,30,3,A2,PM00783
431,279,Ajay Sharma,51,1,A3,PM00956
432,280,Neha Kulkarni,25,2,A1,PM00508
433,280,Kiran Hegde,42,2,A2,PM00387
434,280,Divya Desai,49,1,A3,PM00494
435,281,Pooja Sharma,36,2,A1,PM00700
436,282,Asha Desai,22,3,A1,PM00376
437,283,Pooja Mulla,45,2,A1,PM00245
438,284,Deepak Mulla,48,3,A1,PM00908
439,284,Imran Hegde,55,1,A2,PM00715
440,285,Meera Nayak,54,3,A1,PM00916
441,286,Prakash Desai,29,3,A1,PM01022
442,286,Kiran Pujari,31,1,A2,PM00442
443,287,Suresh Kumar,39,2,A1,PM00880
444,287,Suresh Patil,61,1,A2,PM00434
445,287,Priya Khan,26,2,A3,PM00958
446,288,Arun Kulkarni,30,3,A1,PM00783
447,288,Imran Naik,18,1,A2,PM00317
448,288,Neha Pujari,18,2,A3,PM00162
449,289,Kiran Shetty,35,3,A1,PM00867
450,290,Mahesh Kulkarni,48,3,A1,PM00798
451,291,Rahul Jain,56,2,A1,PM00778
452,292,Meera Pujari,64,3,A1,PM00204
453,292,Vijay Bhat,25,2,A2,PM01029
454,293,Shreya Patil,27,1,A1,PM00328
455,293,Sunil Patil,48,1,A2,PM00725
456,293,Lakshmi Joshi,62,1,A3,PM00564
457,294,Sneha Naik,46,1,A1,PM00022
458,295,Meera Khan,59,2,A1,PM00341
459,296,Arun Kumar,38,2,A1,PM00950
460,297,Ajay Naik,34,2,A1,PM00280
461,297,Priya Patil,23,1,A2,PM00575
462,298,Priya Bhat,58,2,A1,PM00248
463,298,Ananya Kumar,39,2,A2,PM00863
464,298,Ananya Khan,65,1,A3,PM00045
465,299,Vijay Kumar,54,1,A1,PM00906
466,300,Ajay Shetty,37,2,A1,PM00301
467,300,Sunil Sharma,64,2,A2,PM00300
468,301,Priya Reddy,48,2,A1,PM01057
469,302,Asha Jain,20,3,A1,PM00836
470,302,Shreya Sharma,33,2,A2,PM00232
471,302,Neha Mulla,28,2,A3,PM01016
472,303,Naveen Reddy,53,1,A1,PM00979
473,303,Manoj Patil,56,1,A2,PM00440
474,304,Suresh Patil,34,2,A1,PM00358
475,305,Ananya Naik,31,3,A1,PM00595
476,305,Shankar Sharma,61,1,A2,PM00033
477,306,Imran Mulla,61,2,A1,PM00196
478,306,Shreya Joshi,37,2,A2,PM00214
479,306,Mahesh Desai,65,1,A3,PM00833
480,307,Farhan Hegde,55,1,A1,PM00336
481,308,Kiran Shetty,35,3,A1,PM00867
482,309,Divya Gowda,19,3,A1,PM00010
483,310,Deepak Nayak,28,2,A1,PM00375
484,310,Anil Khan,36,3,A2,PM00432
485,311,Suresh Nayak,53,2,A1,PM00566
486,311,Sneha Kulkarni,52,2,A2,PM00276
487,312,Kiran Jain,55,1,A1,PM00850
488,312,Manoj Rao,47,1,A2,PM01086
489,313,Ajay Mulla,26,1,A1,PM00567
490,313,Sneha Kulkarni,52,2,A2,PM00276
491,314,Meera Kulkarni,57,1,A1,PM00849
492,314,Divya Kumar,36,1,A2,PM00499
493,314,Rahul Jain,48,1,A3,PM00255
494,315,Shreya Bhat,28,2,A1,PM00293
495,316,Vijay Reddy,59,1,A1,PM00054
496,316,Shankar Pujari,27,2,A2,PM01024
497,317,Neha Pujari,18,2,A1,PM00162
498,318,Asha Gowda,61,3,A1,PM00813
499,318,Sneha Mulla,26,2,A2,PM00282
500,319,Kavya Sharma,65,1,A1,PM00158
501,319,Ajay Shetty,23,2,A2,PM00526
502,320,Meera Pujari,54,1,A1,PM00627
503,321,Neha Desai,42,2,A1,PM00917
504,322,Vijay Kumar,54,1,A1,PM00906
505,322,Neha Patil,28,2,A2,PM00966
506,323,Sunil Rao,34,1,A1,PM00074
507,324,Deepak Kumar,60,1,A1,PM00937
508,325,Naveen Sharma,48,1,A1,PM01085
509,325,Naveen Naik,27,3,A2,PM00568
510,325,Farhan Patil,55,1,A3,PM00642
511,326,Prakash Rao,61,1,A1,PM00124
512,326,Anil Reddy,18,2,A2,PM00686
513,327,Meera Pujari,33,2,A1,PM00235
514,328,Sunil Khan,22,3,A1,PM01006
515,328,Priya Bhat,58,2,A2,PM00248
516,329,Prakash Reddy,41,2,A1,PM00773
517,329,Mahesh Hegde,25,2,A2,PM00273
518,330,Ananya Kumar,36,1,A1,PM00411
519,331,Sneha Khan,23,1,A1,PM00727
520,332,Manoj Nayak,51,1,A1,PM00944
521,333,Vijay Bhat,43,1,A1,PM00129
522,334,Shankar Nayak,26,2,A1,PM00172
523,335,Suresh Nayak,53,2,A1,PM00566
524,336,Deepak Kulkarni,27,2,A1,PM00258
525,337,Divya Kulkarni,31,2,A1,PM00869
526,338,Ravi Hegde,44,2,A1,PM01069
527,338,Pooja Desai,36,3,A2,PM00056
528,339,Neha Patil,28,2,A1,PM00966
529,340,Shreya Sharma,27,2,A1,PM00995
530,340,Neha Reddy,29,1,A2,PM00825
531,341,Ananya Desai,46,1,A1,PM00745
532,342,Arun Gowda,31,2,A1,PM00104
533,342,Mahesh Gowda,24,1,A2,PM00142
534,343,Sneha Naik,46,1,A1,PM00022
535,344,Anil Khan,29,1,A1,PM00285
536,345,Naveen Reddy,49,1,A1,PM00891
537,346,Meera Mulla,56,2,A1,PM00354
538,346,Deepak Nayak,23,2,A2,PM00941
539,347,Rahul Mulla,27,1,A1,PM00337
540,348,Aishwarya Joshi,19,1,A1,PM00834
541,349,Ananya Nayak,39,1,A1,PM01087
542,350,Kiran Khan,36,3,A1,PM00720
543,351,Sunil Khan,22,3,A1,PM01006
544,351,Arun Kulkarni,51,3,A2,PM00043
545,352,Lakshmi Joshi,62,1,A1,PM00564
546,352,Pooja Kulkarni,48,1,A2,PM00561
547,352,Kiran Joshi,20,1,A3,PM00112
548,353,Pooja Shetty,54,2,A1,PM00633
549,354,Shankar Patil,60,2,A1,PM00117
550,355,Priya Kulkarni,18,3,A1,PM00474
551,356,Deepak Pujari,47,2,A1,PM00073
552,357,Shankar Naik,25,3,A1,PM00665
553,358,Ravi Jain,29,2,A1,PM00683
554,359,Ajay Kulkarni,48,3,A1,PM00425
555,360,Anil Kumar,21,3,A1,PM00363
556,361,Anil Pujari,44,1,A1,PM00677
557,361,Shankar Kulkarni,31,2,A2,PM00986
558,361,Priya Mulla,23,1,A3,PM00103
559,362,Pooja Shetty,54,2,A1,PM00633
560,362,Priya Sharma,32,3,A2,PM00723
561,363,Naveen Jain,54,3,A1,PM00754
562,363,Meera Jain,64,2,A2,PM00963
563,364,Rahul Shetty,44,1,A1,PM00460
