VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
54,50,Naveen Mulla,80,1,0
55,51,Ananya Khan,25,2,1
56,53,Kavya Hegde,22,3,0
57,55,Sneha Rao,71,1,1
58,55,Farhan Hegde,54,2,0
59,56,Mahesh Jain,78,3,1
60,56,Priya Patil,5,2,0
61,57,Aishwarya Naik,55,2,0
62,58,Divya Joshi,30,2,0
63,59,Kiran Patil,26,2,0
64,60,Shreya Pujari,66,3,1
65,61,Anil Kulkarni,21,1,0
66,61,Neha Hegde,72,1,1
67,62,Aishwarya Bhat,24,1,1
68,62,Imran Pujari,47,2,0
69,63,Neha Hegde,33,3,0
70,63,Ananya Bhat,37,3,0
71,64,Priya Bhat,39,3,0
72,65,Divya Hegde,40,1,0
73,66,Ravi Bhat,59,2,0
74,66,Nandini Jain,51,3,0
75,67,Prakash Joshi,41,2,0
76,68,Priya Khan,31,1,1
77,69,Asha Pujari,74,3,0
78,70,Kavya Desai,25,3,0
79,71,Asha Bhat,79,2,1
80,72,Suresh Hegde,11,1,0
81,73,Vijay Jain,11,3,1
82,73,Pooja Bhat,44,1,0
83,74,Aishwarya Pujari,20,3,1
84,75,Mahesh Patil,55,2,0
85,76,Naveen Kulkarni,60,3,0
86,76,Suresh Hegde,39,2,0
87,77,Manoj Kumar,60,3,1
88,78,Lakshmi Desai,57,1,0
89,79,Meera Joshi,71,2,0
90,80,Aishwarya Khan,41,1,0
91,81,Shankar Jain,22,2,0
92,81,Ajay Mulla,40,3,0
93,82,Rahul Gowda,29,3,0
94,83,Vijay Pujari,65,2,1
95,83,Suresh Kulkarni,32,1,0
96,84,Pooja Kulkarni,37,1,0
97,85,Mahesh Desai,21,2,0
98,86,Divya Sharma,34,2,0
99,87,Rahul Khan,13,3,1
100,88,Neha Mulla,49,2,0
101,89,Anil Khan,57,1,0
102,90,Ananya Pujari,69,2,0
103,91,Ajay Kulkarni,58,2,0
104,93,Pooja Bhat,48,1,0
105,94,Kavya Naik,53,1,0
106,95,Suresh Nayak,8,1,0
107,96,Prakash Rao,56,3,0
108,97,Vijay Shetty,31,1,1
109,98,Ravi Desai,11,1,0
110,99,Manoj Gowda,70,1,1
111,100,Ananya Kumar,80,1,0
112,101,Mahesh Khan,53,2,0
113,102,Farhan Khan,12,2,0
114,103,Shankar Patil,20,3,0
115,105,Asha Gowda,80,3,0
116,106,Rahul Joshi,9,2,0
117,107,Prakash Desai,75,1,0
118,108,Sunil Kumar,5,1,1
119,108,Ajay Nayak,74,1,0
120,108,Anil Gowda,58,1,0
121,109,Ravi Pujari,32,2,0
122,110,Lakshmi Sharma,57,3,0
123,110,Vijay Jain,47,1,0
124,111,Suresh Reddy,32,1,0
125,112,Divya Joshi,17,3,0
126,112,Rahul Khan,19,1,0
127,114,Rahul Desai,46,2,0
128,115,Shankar Kulkarni,80,1,0
129,115,Mahesh Rao,10,3,0
130,116,Kavya Bhat,70,1,0
131,117,Farhan Mulla,17,3,0
132,117,Anil Sharma,13,2,1
133,117,Manoj Gowda,20,3,0
134,118,Neha Patil,23,2,0
135,118,Ananya Patil,46,3,1
136,119,Ravi Kumar,35,2,0
137,119,Lakshmi Nayak,9,2,0
138,120,Prakash Hegde,27,3,0
139,121,Manoj Bhat,76,2,0
140,121,Arun Desai,44,1,0
141,122,Sunil Rao,19,1,0
142,122,Ananya Khan,21,1,0
143,124,Anil Shetty,45,1,0
144,124,Mahesh Nayak,17,3,0
145,125,Neha Bhat,65,2,1
146,126,Shankar Gowda,22,2,0
147,127,Deepak Jain,30,1,0
148,128,Deepak Gowda,55,2,0
149,129,Pooja Reddy,47,3,0
150,130,Sneha Shetty,80,2,0
151,131,Farhan Bhat,55,3,1
152,132,Lakshmi Joshi,68,2,0
153,133,Mahesh Kumar,34,2,0
154,133,Ajay Naik,64,2,1
155,134,Ravi Kulkarni,70,1,0
156,136,Shreya Kulkarni,12,3,0
157,137,Deepak Kulkarni,44,1,0
158,138,Arun Hegde,13,2,1
159,139,Pooja Bhat,25,1,0
160,140,Naveen Nayak,57,3,0
161,141,Kavya Rao,78,3,0
162,142,Rahul Naik,80,1,0
163,143,Shankar Mulla,26,2,0
164,144,Vijay Shetty,20,3,0
165,146,Lakshmi Nayak,38,3,0
166,146,Kiran Desai,7,2,0
167,147,Meera Joshi,60,3,1
168,148,Manoj Jain,10,1,0
169,149,Shreya Bhat,73,2,0
170,150,Pooja Rao,68,3,0
171,150,Vijay Khan,42,1,1
172,151,Lakshmi Nayak,28,1,0
173,152,Lakshmi Gowda,51,1,1
174,153,Naveen Naik,43,3,1
175,155,Naveen Patil,59,1,0
176,156,Sunil Patil,7,3,1
177,157,Farhan Rao,14,3,1
178,158,Farhan Jain,56,2,0
179,159,Lakshmi Hegde,50,2,1
180,160,Ravi Pujari,11,1,1
181,161,Anil Reddy,27,2,1
182,162,Sunil Joshi,5,3,1
183,162,Shankar Desai,48,1,0
184,163,Nandini Sharma,30,2,0
185,165,Shreya Desai,64,1,0
186,166,Neha Rao,66,2,1
187,167,Ajay Naik,18,3,0
188,168,Nandini Sharma,10,3,0
189,169,Vijay Patil,54,1,1
190,171,Arun Sharma,68,2,0
191,172,Lakshmi Naik,17,1,0
192,173,Naveen Gowda,19,1,1
193,174,Lakshmi Jain,20,1,1
194,175,Mahesh Reddy,76,1,0
195,176,Asha Rao,29,3,0
196,177,Kavya Kulkarni,72,2,0
197,178,Sunil Gowda,70,2,0
198,179,Priya Kumar,37,2,0
199,179,Kavya Naik,10,2,0
200,180,Suresh Kulkarni,30,2,1
201,181,Lakshmi Sharma,71,1,0
202,181,Divya Joshi,70,1,1
203,182,Ajay Rao,31,2,1
204,183,Sunil Patil,78,2,0
205,185,Arun Naik,15,1,0
206,185,Rahul Patil,58,2,1
207,186,Meera Shetty,53,2,1
208,187,Shreya Nayak,11,1,0
209,188,Imran Khan,37,3,1
210,188,Shankar Kulkarni,23,3,0
211,189,Rahul Pujari,8,1,0
212,190,Sneha Jain,27,1,0
213,191,Suresh Jain,6,3,0
214,192,Farhan Joshi,72,3,0
215,193,Ravi Bhat,58,2,0
216,194,Pooja Nayak,15,3,0
217,195,Pooja Mulla,68,3,0
218,196,Kiran Reddy,27,2,0
219,197,Ajay Mulla,35,2,0
220,197,Imran Joshi,76,3,0
221,198,Kiran Hegde,17,1,0
222,199,Prakash Hegde,42,1,0
223,200,Rahul Mulla,46,3,0
224,201,Ravi Bhat,50,3,0
225,202,Shankar Shetty,38,2,1
226,203,Shankar Joshi,36,2,1
227,204,Mahesh Reddy,46,2,0
228,204,Lakshmi Khan,21,1,1
229,205,Divya Jain,66,1,0
230,206,Suresh Patil,39,2,0
231,207,Arun Kumar,57,3,0
232,208,Sunil Bhat,43,2,0
233,208,Kiran Jain,44,2,0
234,209,Deepak Reddy,68,3,0
235,210,Mahesh Mulla,8,1,1
236,211,Nandini Rao,71,1,0
237,212,Shreya Bhat,55,2,0
238,213,Divya Kulkarni,5,3,1
239,214,Vijay Nayak,53,2,0
240,214,Farhan Reddy,7,3,0
241,215,Deepak Joshi,38,2,0
242,216,Sunil Joshi,44,1,0
243,216,Ajay Shetty,31,3,1
244,217,Kavya Desai,5,2,0
245,218,Suresh Rao,18,3,0
246,219,Lakshmi Reddy,70,2,0
247,221,Shreya Mulla,29,3,0
248,222,Shankar Bhat,37,3,0
249,223,Aishwarya Shetty,55,3,0
250,223,Sneha Rao,33,3,0
251,224,Suresh Gowda,30,3,0
252,225,Ravi Jain,34,2,1
253,226,Mahesh Desai,37,1,0
254,227,Imran Kumar,59,1,0
255,228,Suresh Gowda,61,1,0
256,229,Ajay Desai,55,1,0
257,230,Naveen Shetty,57,2,0
258,231,Ravi Naik,71,1,0
259,231,Pooja Kulkarni,77,2,0
260,232,Meera Nayak,79,2,0
261,233,Imran Gowda,79,3,0
262,234,Suresh Hegde,36,3,0
263,235,Ravi Joshi,27,2,0
264,236,Prakash Pujari,76,2,0
265,237,Pooja Desai,70,3,0
266,238,Nandini Sharma,32,3,0
267,239,Arun Sharma,61,2,0
268,240,Deepak Rao,55,2,0
269,241,Nandini Mulla,27,1,0
270,242,Aishwarya Desai,16,1,0
271,242,Deepak Khan,57,3,0
272,243,Prakash Mulla,47,1,0
273,243,Manoj Khan,29,3,0
274,244,Vijay Naik,45,3,0
275,244,Kavya Pujari,48,1,0
276,245,Aishwarya Patil,61,3,1
277,245,Shankar Gowda,6,3,0
278,246,Arun Gowda,11,3,1
279,247,Asha Nayak,47,3,0
280,248,Kiran Shetty,66,3,0
281,249,Aishwarya Joshi,66,1,0
282,250,Meera Naik,47,1,0
283,251,Deepak Rao,58,2,1
284,252,Sunil Nayak,44,3,0
285,253,Kavya Pujari,64,2,0
286,254,Sneha Desai,16,3,0
287,255,Nandini Pujari,33,3,0
288,255,Asha Nayak,67,2,0
289,256,Vijay Hegde,26,3,1
290,257,Mahesh Kulkarni,62,2,0
291,258,Priya Mulla,41,1,0
292,259,Ananya Mulla,39,1,1
293,260,Priya Joshi,54,1,0
294,262,Imran Rao,11,3,0
295,263,Vijay Kulkarni,52,1,0
296,264,Divya Khan,57,3,0
297,265,Rahul Reddy,55,2,0
298,265,Manoj Jain,20,1,0
299,266,Rahul Kumar,41,2,0
300,267,Shankar Pujari,32,2,0
301,268,Naveen Gowda,28,3,0
302,269,Imran Joshi,33,1,0
303,270,Manoj Hegde,63,3,0
304,270,Shankar Pujari,20,3,0
305,271,Asha Joshi,66,2,0
306,271,Anil Shetty,36,2,1
307,272,Ravi Mulla,19,3,0
308,274,Kavya Joshi,58,1,0
309,275,Priya Desai,64,1,1
310,276,Ravi Pujari,77,2,0
311,276,Kiran Rao,66,2,0
312,277,Nandini Sharma,36,2,0
313,278,Pooja Naik,75,1,1
314,279,Asha Joshi,35,2,0
315,280,Divya Joshi,23,3,1
316,281,Pooja Pujari,10,2,1
317,281,Anil Reddy,5,2,0
318,281,Lakshmi Pujari,25,2,0
319,282,Farhan Sharma,37,3,0
320,283,Sneha Pujari,13,3,0
321,283,Shankar Sharma,43,1,1
322,284,Prakash Khan,48,2,0
323,285,Arun Rao,50,3,1
324,286,Ajay Rao,15,3,1
325,287,Ravi Pujari,20,1,1
326,288,Kavya Naik,58,1,0
327,289,Kavya Kumar,41,1,0
328,290,Anil Kumar,65,1,0
329,291,Ajay Jain,47,3,0
330,293,Imran Nayak,28,3,0
331,294,Rahul Gowda,66,1,0
332,295,Arun Bhat,15,2,0
333,296,Divya Gowda,19,3,0
334,296,Deepak Gowda,31,1,0
335,296,Suresh Bhat,37,2,1
336,297,Prakash Reddy,47,1,0
337,298,Prakash Bhat,60,3,0
338,299,Asha Khan,43,3,0
339,300,Kiran Mulla,14,1,1
340,300,Asha Shetty,26,1,0
341,302,Ravi Pujari,80,1,0
342,302,Suresh Reddy,57,2,0
343,303,Arun Desai,23,3,0
344,303,Divya Jain,44,2,0
345,304,Farhan Gowda,45,3,0
346,305,Sunil Patil,78,1,0
347,306,Mahesh Pujari,68,2,0
348,307,Shankar Rao,9,3,0
349,308,Asha Patil,59,3,0
350,309,Farhan Shetty,29,1,1
351,309,Manoj Reddy,74,1,1
352,309,Mahesh Khan,13,3,1
353,310,Pooja Nayak,44,2,0
354,311,Naveen Kulkarni,52,3,0
355,312,Mahesh Jain,57,1,0
356,313,Anil Rao,79,3,0
357,314,Aishwarya Reddy,78,3,0
358,315,Neha Desai,43,2,0
359,316,Asha Gowda,38,2,1
360,317,Ajay Naik,46,2,0
361,318,Anil Sharma,43,2,1
362,319,Farhan Bhat,72,3,0
363,320,Priya Gowda,69,1,0
364,321,Vijay Gowda,68,1,0
365,323,Mahesh Gowda,21,2,0
366,323,Ajay Nayak,37,2,0
367,324,Divya Kumar,72,3,0
368,325,Shreya Naik,28,1,1
369,326,Suresh Gowda,71,2,0
370,326,Ananya Mulla,54,1,0
371,327,Asha Bhat,72,1,0
372,328,Rahul Reddy,48,1,0
373,329,Ajay Kulkarni,12,2,0
374,330,Meera Kumar,70,3,1
375,331,Aishwarya Pujari,37,2,0
376,332,Vijay Rao,68,2,0
377,333,Ajay Rao,8,3,0
378,334,Pooja Joshi,51,3,0
379,335,Shankar Joshi,21,3,0
380,336,Meera Jain,35,1,0
381,338,Suresh Desai,33,2,0
382,338,Sunil Hegde,30,1,0
383,339,Shreya Rao,55,1,0
384,339,Asha Patil,62,2,1
385,340,Mahesh Hegde,8,2,0
386,341,Prakash Shetty,74,2,0
387,342,Deepak Joshi,34,2,1
388,342,Shreya Shetty,75,3,0
389,343,Ravi Naik,51,1,1
390,344,Kavya Jain,7,2,0
391,344,Ajay Hegde,33,3,0
392,345,Farhan Joshi,73,3,0
393,346,Anil Pujari,58,3,0
394,347,Anil Jain,50,3,0
395,347,Prakash Kulkarni,16,3,0
396,348,Pooja Rao,20,2,0
397,349,Pooja Joshi,7,3,0
398,351,Ravi Shetty,57,3,0
399,352,Arun Shetty,54,2,1
400,353,Shreya Kumar,35,3,0
401,353,Suresh Sharma,65,2,1
402,354,Prakash Sharma,59,2,1
403,355,Deepak Patil,58,3,1
404,356,Deepak Nayak,59,1,0
405,357,Shreya Rao,69,1,0
406,358,Neha Naik,24,3,0
407,358,Manoj Hegde,78,2,1
408,358,Lakshmi Mulla,76,3,0
409,359,Ananya Nayak,69,3,0
410,360,Meera Hegde,16,3,1
411,361,Prakash Kumar,71,3,1
412,361,Shankar Hegde,49,2,1
413,362,Shreya Kumar,60,1,0
414,363,Farhan Hegde,7,3,0
415,364,Divya Mulla,12,1,1
416,365,Asha Hegde,11,1,0
417,366,Ajay Patil,37,1,0
418,366,Vijay Rao,40,1,0
419,367,Suresh Reddy,68,1,1
420,368,Ajay Patil,47,2,1
421,369,Aishwarya Joshi,57,2,0
422,370,Nandini Reddy,59,2,0
423,370,Kiran Desai,68,3,0
424,371,Manoj Khan,63,3,0
425,372,Pooja Rao,65,3,0
426,373,Ajay Sharma,51,1,0
427,374,Arun Naik,34,1,0
428,375,Kiran Pujari,47,2,1
429,376,Lakshmi Rao,57,1,0
430,377,Vijay Pujari,5,1,0
431,378,Naveen Joshi,63,3,0
432,379,Asha Nayak,76,2,0
433,381,Shankar Shetty,18,1,1
434,382,Prakash Patil,41,1,0
435,383,Deepak Mulla,17,1,1
436,384,Kavya Hegde,40,1,1
437,385,Pooja Nayak,31,2,1
438,386,Rahul Kumar,58,1,0
439,387,Divya Mulla,24,1,0
440,388,Mahesh Desai,44,3,1
441,389,Imran Sharma,10,3,1
442,390,Neha Desai,43,3,0
443,390,Kiran Rao,7,1,0
444,391,Arun Kumar,18,1,0
445,391,Priya Jain,67,1,0
446,392,Vijay Shetty,36,2,1
447,393,Vijay Joshi,29,2,1
448,394,Naveen Naik,18,3,0
449,394,Kavya Kumar,34,3,0
450,395,Ananya Gowda,71,2,0
451,395,Kavya Pujari,70,1,0
452,396,Ananya Patil,22,2,0
453,397,Ravi Sharma,5,1,0
454,398,Naveen Patil,9,2,0
455,399,Manoj Naik,5,1,0
456,400,Prakash Joshi,17,2,0
457,400,Rahul Jain,51,3,0
458,401,Arun Naik,30,3,0
459,401,Suresh Joshi,47,2,0
460,402,Rahul Naik,73,1,0
461,402,Aishwarya Joshi,33,3,1
462,403,Suresh Kulkarni,79,3,0
463,404,Suresh Pujari,35,2,0
464,405,Imran Hegde,26,2,1
465,406,Pooja Rao,56,1,1
466,407,Priya Joshi,76,1,0
467,408,Shankar Gowda,67,3,0
468,408,Shankar Patil,79,2,0
469,409,Sunil Patil,75,3,0
470,409,Kiran Jain,37,2,0
471,409,Arun Khan,75,1,0
472,410,Meera Patil,63,2,0
473,411,Shankar Naik,46,2,1
474,412,Lakshmi Reddy,56,1,0
475,414,Ajay Reddy,27,3,0
476,415,Mahesh Kumar,25,1,0
477,416,Arun Patil,41,1,0
478,417,Prakash Desai,49,1,0
479,418,Divya Hegde,30,1,0
480,418,Sunil Nayak,33,2,0
481,420,Shreya Mulla,15,1,0
482,421,Sneha Nayak,24,3,0
483,422,Shreya Naik,23,2,1
484,423,Rahul Sharma,55,3,0
485,424,Deepak Naik,66,1,0
486,425,Suresh Mulla,47,2,0
487,426,Farhan Joshi,25,2,1
488,427,Neha Naik,63,2,0
489,428,Pooja Khan,16,1,0
490,429,Kiran Gowda,18,3,1
491,430,Farhan Nayak,21,1,0
492,431,Ravi Sharma,68,1,0
493,431,Imran Mulla,21,2,0
494,431,Arun Hegde,35,2,0
495,432,Divya Joshi,59,2,0
496,433,Sunil Rao,72,1,1
497,434,Kiran Naik,9,1,0
498,436,Kavya Joshi,38,2,0
499,437,Imran Gowda,63,3,1
500,438,Shreya Shetty,8,2,0
501,440,Arun Pujari,24,1,1
502,441,Rahul Rao,57,3,0
503,441,Lakshmi Sharma,78,3,0
504,442,Lakshmi Mulla,14,1,0
505,443,Lakshmi Nayak,51,3,1
506,444,Anil Patil,25,1,1
507,445,Shankar Sharma,20,3,0
508,446,Naveen Joshi,7,3,1
509,447,Imran Jain,13,1,0
510,448,Kiran Gowda,30,1,0
511,448,Kavya Pujari,80,3,0
512,449,Shankar Gowda,35,3,0
513,450,Meera Jain,24,1,0
514,451,Sunil Patil,14,3,0
515,452,Kiran Hegde,12,1,1
516,454,Pooja Bhat,73,1,0
517,455,Ravi Sharma,29,3,0
518,456,Manoj Reddy,35,3,1
519,457,Meera Bhat,21,3,0
520,459,Kiran Kulkarni,43,3,0
521,460,Rahul Patil,52,3,0
522,461,Ajay Kumar,36,2,0
523,462,Ananya Rao,52,3,0
524,463,Sneha Desai,5,2,0
525,463,Shreya Khan,31,1,0
526,464,Manoj Rao,67,2,0
527,465,Naveen Reddy,71,3,0
528,466,Imran Pujari,13,3,1
529,467,Asha Patil,43,3,0
530,468,Rahul Kumar,44,1,0
531,469,Imran Reddy,5,3,1
532,470,Vijay Patil,72,3,1
533,471,Meera Naik,27,3,0
534,472,Arun Pujari,47,2,0
535,473,Deepak Sharma,24,1,1
536,474,Nandini Mulla,47,2,1
537,474,Deepak Khan,27,1,0
538,475,Nandini Kumar,18,2,0
539,476,Shankar Desai,70,2,1
540,476,Shankar Nayak,44,1,0
541,477,Divya Reddy,30,3,0
542,478,Mahesh Pujari,35,3,0
543,479,Priya Jain,26,2,0
544,480,Meera Gowda,47,1,0
545,481,Vijay Naik,56,2,0
546,482,Ravi Pujari,65,3,1
547,483,Suresh Joshi,52,2,0
548,484,Arun Mulla,76,3,0
549,485,Shreya Naik,42,1,0
550,486,Anil Khan,17,3,0
551,487,Sunil Pujari,34,2,0
552,488,Arun Patil,26,2,0
553,489,Lakshmi Jain,6,2,0
554,490,Sneha Mulla,47,1,0
555,491,Divya Bhat,22,2,0
556,491,Aishwarya Jain,22,2,0
557,492,Naveen Desai,78,3,1
558,493,Meera Reddy,17,2,0
559,493,Prakash Naik,75,1,0
560,494,Kiran Desai,12,1,0
561,495,Shankar Reddy,73,2,0
562,496,Pooja Pujari,57,2,1
563,497,Manoj Nayak,79,1,0
564,498,Sunil Mulla,7,1,0
565,499,Ravi Mulla,47,2,0
566,501,Meera Reddy,70,1,0
567,502,Imran Naik,56,3,0
568,503,Ravi Pujari,60,3,1
569,504,Neha Bhat,73,3,0
570,505,Lakshmi Mulla,35,2,0
571,506,Arun Pujari,20,1,0
572,507,Nandini Kulkarni,47,1,0
573,507,Neha Kulkarni,7,2,0
574,508,Naveen Hegde,54,3,0
575,509,Deepak Khan,19,1,1
576,510,Suresh Mulla,19,2,0
577,511,Lakshmi Reddy,17,2,1
578,512,Pooja Khan,32,2,1
579,513,Suresh Kulkarni,58,1,0
580,514,Shankar Joshi,73,2,0
581,515,Aishwarya Desai,18,1,1
582,516,Sunil Sharma,46,3,0
583,516,Prakash Nayak,31,2,0
584,517,Shankar Jain,20,3,0
585,518,Rahul Sharma,68,1,0
586,519,Manoj Hegde,23,2,0
587,520,Aishwarya Hegde,45,2,1
588,521,Rahul Khan,24,2,0
589,522,Aishwarya Reddy,36,1,0
590,524,Ananya Pujari,68,1,1
591,525,Suresh Mulla,72,1,0
592,526,Ravi Nayak,7,3,0
593,527,Sunil Nayak,37,3,0
594,528,Deepak Desai,14,3,1
595,528,Kiran Pujari,18,1,1
596,529,Ajay Shetty,78,2,0
597,531,Meera Joshi,12,3,0
598,532,Ravi Sharma,60,2,1
599,533,Meera Joshi,35,3,0
600,534,Kiran Patil,47,1,1
601,535,Suresh Mulla,71,1,0
602,535,Anil Kumar,47,3,0
603,536,Aishwarya Rao,57,2,1
604,537,Sunil Desai,27,1,0
605,538,Meera Kulkarni,72,1,1
606,539,Deepak Khan,6,2,0
607,540,Meera Mulla,23,2,0
608,541,Arun Kulkarni,8,2,0
609,542,Mahesh Jain,79,1,0
610,542,Vijay Bhat,67,1,0
611,543,Ajay Bhat,36,1,0
612,544,Lakshmi Joshi,14,1,1
613,545,Nandini Kulkarni,54,3,0
614,546,Pooja Jain,60,2,0
615,547,Rahul Reddy,63,3,0
616,548,Kiran Joshi,62,2,0
617,549,Manoj Joshi,64,1,0
618,549,Sneha Sharma,75,1,0
619,550,Nandini Jain,71,2,1
620,551,Pooja Joshi,35,2,1
621,552,Suresh Kulkarni,6,3,0
622,552,Neha Khan,30,3,0
623,553,Imran Desai,35,3,0
624,554,Kiran Pujari,15,1,0
625,555,Lakshmi Nayak,8,2,0
626,556,Pooja Kumar,56,3,0
627,556,Nandini Mulla,50,1,1
628,557,Pooja Nayak,23,1,0
629,558,Anil Kulkarni,38,2,0
630,559,Deepak Sharma,62,3,0
631,560,Mahesh Kumar,59,2,0
632,561,Arun Kulkarni,79,3,0
633,562,Naveen Joshi,75,2,0
634,563,Kiran Rao,36,3,0
635,564,Ajay Naik,5,3,0
636,565,Vijay Kumar,73,1,1
637,565,Rahul Sharma,29,2,0
638,566,Manoj Mulla,56,2,0
639,567,Anil Rao,67,1,1
640,567,Kiran Shetty,24,3,0
641,567,Ajay Desai,66,2,0
642,568,Farhan Patil,47,3,0
643,568,Ajay Jain,59,2,0
644,569,Kiran Naik,56,2,0
645,570,Priya Shetty,70,3,0
646,571,Priya Shetty,33,2,0
647,572,Sneha Hegde,39,1,0
648,573,Prakash Bhat,27,3,1
649,574,Suresh Nayak,58,2,0
650,575,Kavya Naik,54,3,0
651,575,Lakshmi Desai,52,3,0
652,576,Mahesh Rao,17,1,0
653,577,Shankar Kumar,41,3,0
654,578,Ravi Jain,47,3,0
655,578,Manoj Pujari,51,1,1
656,579,Prakash Kumar,25,3,0
657,580,Divya Desai,57,1,0
658,581,Meera Rao,55,1,0
659,582,Kavya Khan,58,1,0
660,582,Neha Reddy,59,3,0
661,583,Vijay Gowda,6,1,0
662,584,Divya Hegde,27,3,0
663,584,Prakash Mulla,18,2,0
664,585,Sneha Desai,56,2,0
665,586,Ananya Patil,24,2,0
666,587,Anil Kumar,13,3,0
667,588,Kiran Mulla,53,1,0
668,590,Vijay Pujari,55,1,0
669,591,Ravi Bhat,11,1,1
670,591,Anil Khan,76,3,0
671,592,Nandini Sharma,11,1,1
672,593,Nandini Jain,62,3,1
673,595,Pooja Jain,9,1,0
674,595,Nandini Bhat,36,2,0
675,596,Imran Joshi,6,2,0
676,597,Ajay Nayak,18,1,0
677,598,Asha Shetty,56,1,0
678,599,Nandini Pujari,65,2,1
679,600,Naveen Joshi,37,3,1
680,600,Vijay Gowda,46,2,1
681,601,Shreya Reddy,66,1,0
682,602,Divya Nayak,68,3,0
683,603,Meera Patil,78,3,1
684,605,Ananya Desai,64,2,1
685,605,Sunil Jain,75,1,0
686,606,Shankar Khan,18,1,0
687,607,Nandini Bhat,73,1,0
688,607,Vijay Patil,41,1,0
689,608,Divya Gowda,23,3,0
690,609,Rahul Gowda,55,3,0
691,610,Naveen Mulla,10,2,1
692,610,Divya Naik,78,2,1
693,611,Ravi Patil,48,3,0
694,612,Kiran Joshi,16,2,0
695,613,Arun Naik,30,1,0
696,613,Vijay Kumar,75,1,0
697,614,Ananya Kumar,52,1,0
698,615,Arun Reddy,39,3,0
699,615,Sneha Jain,29,1,1
700,616,Arun Joshi,58,3,1
701,617,Vijay Pujari,54,2,0
702,618,Neha Hegde,78,2,0
703,618,Shankar Sharma,70,1,1
704,619,Meera Joshi,12,3,0
705,620,Aishwarya Kulkarni,43,1,0
706,621,Shankar Rao,13,2,0
707,622,Suresh Mulla,70,3,0
708,622,Shankar Kulkarni,28,2,0
709,623,Meera Mulla,8,1,0
710,624,Shreya Rao,28,1,1
711,625,Meera Patil,71,2,1
712,626,Prakash Jain,15,2,0
713,627,Shreya Khan,18,3,0
714,628,Ajay Hegde,10,3,0
715,629,Manoj Naik,47,2,1
716,630,Kiran Khan,27,1,1
717,631,Anil Naik,44,2,1
718,632,Meera Gowda,26,1,1
719,633,Ajay Pujari,79,1,1
720,634,Kiran Reddy,69,2,0
721,635,Naveen Reddy,42,2,0
722,636,Ananya Sharma,35,2,1
723,636,Shankar Shetty,53,2,1
724,638,Prakash Desai,65,1,0
725,639,Deepak Mulla,32,3,0
726,640,Anil Patil,46,2,1
727,640,Kiran Bhat,15,2,0
728,641,Farhan Joshi,11,3,0
729,644,Lakshmi Kumar,32,3,0
730,645,Farhan Gowda,49,2,0
731,646,Sneha Gowda,44,2,0
732,646,Nandini Mulla,29,2,0
733,647,Priya Kulkarni,77,3,0
734,648,Sunil Sharma,50,3,1
735,648,Farhan Kumar,61,3,0
736,648,Ananya Pujari,18,2,0
737,649,Naveen Nayak,17,2,0
738,650,Lakshmi Desai,54,3,0
739,651,Rahul Khan,28,2,0
740,652,Aishwarya Reddy,66,1,0
741,652,Manoj Gowda,9,1,1
742,653,Sneha Shetty,69,3,1
743,654,Suresh Bhat,46,2,1
744,655,Vijay Shetty,58,2,0
745,656,Prakash Patil,70,2,0
